mervyn,m
mirth,f
myrt,f
olle,m
ollene,f
oppie,f
ormi,f
ovis,m
pensacola,f
rassie,m
reetha,f
rosalla,f
rosamay,f
rozia,f
suoma,f
themis,m
trudis,f
tsuruyo,f
ulva,f
vadia,f
vero,m
zolar,f
anselmi,m
arter,m
churchel,m
cilton,m
clegg,m
clen,m
clotis,m
columbo,m
coma,f
cornealius,m
dougal,m
einard,m
erris,m
fort,m
freelin,m
grundy,m
hally,f
jethero,m
kostanty,m
ladimer,m
lasco,m
lent,m
lether,f
lotis,f
merley,f
miroslaw,m
naylor,m
obry,m
orestus,m
phenious,m
pioquinto,m
reppard,m
reyburn,m
seymoure,m
silven,m
tatsuro,m
telio,m
tilio,m
urbane,m
vanner,m
vilho,m
virginius,m
voight,m
waddy,m
wensel,m
wingate,m
ziba,m
abell,m
agneta,f
alama,f
andrine,f
bergetta,f
bertella,f
burmah,f
casmera,f
cheerful,f
clero,f
cordelle,m
creolia,f
cresie,f
dorpha,f
ebe,f
elizabetha,f
elmi,m
erdell,f
estaleen,f
ethellee,f
evada,f
frozine,f
gayola,f
genievieve,f
guerina,f
hermania,f
ilet,f
ioan,m
ivetta,f
larenza,f
lavancha,f
leuvenia,f
luease,f
margerete,f
marvil,f
matildia,f
mellicent,f
mineko,f
murtha,m
myrne,f
nobu,f
noriene,f
olyne,f
ottelia,f
palmera,f
pansye,f
philomen,f
snoda,f
tomoye,f
vinola,f
willabell,f
wilmeth,m
wilmot,m
ardine,f
beattie,m
bev,f
cleal,m
cleao,f
doro,m
ernal,m
eustis,m
geddes,m
gesualdo,m
gettys,m
glady,f
hovey,m
lloyed,m
lothrop,m
maple,f
medley,f
milburne,m
nathinal,m
nordahl,m
od,m
rallie,m
readus,m
rienhold,m
severio,m
shigetoshi,m
sigvard,m
stiney,m
telesphore,m
tillis,m
unto,m
urlin,m
ursel,f
venoy,m
vertle,m
wc,m
windfield,m
addle,f
agneda,f
alver,m
alvernia,f
ample,f
armintha,f
art,m
athylene,f
buster,m
cleah,f
clemintine,f
clodean,f
cloy,m
conola,f
edice,f
edwa,f
emmadell,f
franciszka,f
gallie,f
geneivieve,f
halcy,f
hershel,m
hisa,f
hozel,f
idalou,f
iney,f
ivo,m
jurell,m
lapearl,f
letah,f
lotha,f
loubelle,f
lueseal,f
luly,f
lusetta,f
lutishia,f
margueriette,f
miladie,f
mildra,f
misue,f
morton,m
nadeene,f
narciss,f
neata,f
ogreta,f
onetia,f
othal,m
pheby,f
quella,f
reedie,m
reesie,f
satsuko,f
swanie,f
theopa,f
tiofila,f
valaska,f
vaneda,f
wahnita,f
wheeler,m
williard,m
zubie,f
archa,m
arco,m
ardys,f
arthus,m
barksdale,m
boyed,m
brister,m
bundy,m
buss,m
cannie,f
casimere,m
chasteen,m
cloe,f
cova,f
cromer,m
dearmond,m
delavan,m
dunk,m
ebbe,m
eleck,m
elmen,m
errold,m
florida,f
frampton,m
friel,m
geore,m
glyde,m
gottfred,m
holmer,m
hubart,m
issie,f
kasimer,m
lawell,m
lebern,m
morland,m
morriss,m
newbern,m
olivet,f
oluf,m
olvis,m
orum,m
othan,m
ottomar,m
rascoe,m
rauni,m
redman,m
reinard,m
rheo,m
setsuo,m
sievert,m
sigmunt,m
takeichi,m
thoralf,m
ubald,m
urbin,m
voy,m
wamon,m
yoshikatsu,m
zellie,f
aleph,m
algertha,f
almarene,f
althera,f
annunciata,f
arvillia,f
